Name,Phone Number,Email,Water Bill,Electricity Bill,Rent,Grocery Bill,Maintenance,Food Expenditure,Entertainment Expenditure,EMIs,Other Payments,Loan Repayment,Loans Taken,Water Bill Delay (Days),Electricity Bill Delay (Days),Rent Delay (Days),Grocery Bill Delay (Days),Maintenance Delay (Days),Food Expenditure Delay (Days),Entertainment Expenditure Delay (Days),EMIs Delay (Days),Other Payments Delay (Days),Loan Repayment Delay (Days),Credit Score,Season,Mobile Recharges,Online Purchases,Transaction Count,Average Transaction Amount,Active Contacts,Social App Activity
Amit Verma,+919092720574,amitverma38@yahoo.com,814.78,1104.05,72781.66,2336.41,7409.42,3367.67,13814.37,1884.77,4253.78,0.0,0.0,0,1,2,0,0,0,0,0,0,0,671,Summer,5,2,96,3598.05,92,2
Divya Pandey,+917652473739,divyapandey435@hotmail.com,101.18,4103.74,22999.54,1579.74,6764.59,3367.76,44152.86,2063.73,1915.9,15685.42,331875.93,0,0,0,0,0,0,0,2,0,0,762,Winter,7,8,92,1608.54,128,175
Deepak Iyer,+918379962066,deepakiyer576@yahoo.com,244.15,954.42,11849.88,3941.97,1480.77,625.07,3788.11,12697.61,1229.71,0.0,0.0,1,0,0,0,0,0,0,0,2,0,808,Monsoon,3,10,67,654.39,219,5
Vikram Tiwari,+917312788864,vikramtiwari818@hotmail.com,338.48,3491.22,39321.62,6896.32,1154.03,2982.14,12810.45,8146.94,6042.55,0.0,0.0,0,0,0,0,0,0,0,0,0,0,798,Monsoon,4,8,101,788.9,210,54
Pooja Williams,+917664717523,poojawilliams437@outlook.com,190.07,4460.14,94663.53,9552.93,324.5,1007.87,9391.19,3752.29,198.56,1557.06,93848.45,0,0,0,0,0,1,3,1,1,0,735,Monsoon,5,7,83,809.61,152,0
Vikram Wilson,+918571269864,vikramwilson996@example.com,51.39,3017.64,29566.02,8362.45,2557.93,2410.14,3302.39,1292.63,1277.22,1406.63,133871.32,0,0,0,0,0,0,0,0,0,0,566,Winter,3,9,62,1068.35,179,3
Dorothy Hernandez,+918881256452,dorothyhernandez387@hotmail.com,183.35,1807.37,75036.73,7778.38,937.8,2046.57,12665.39,11064.95,4588.54,0.0,0.0,0,0,0,0,0,0,0,0,3,0,774,Monsoon,5,4,118,1183.64,90,8
Joseph Sharma,+919381101488,josephsharma236@outlook.com,178.81,2391.25,18276.78,8162.52,2693.94,1951.34,29472.47,3032.57,12219.92,0.0,0.0,0,0,0,0,0,0,0,0,0,0,880,Summer,5,14,86,949.25,201,30
Sneha Iyer,+916999698168,snehaiyer838@example.com,51.08,2271.98,16838.81,4097.76,1767.32,585.31,4393.47,10147.64,2783.03,0.0,0.0,0,0,0,0,0,0,0,0,0,0,736,Spring,4,11,120,1114.17,185,96
Akash Martin,+916334958314,akashmartin931@hotmail.com,260.85,2917.32,52078.37,10671.48,936.97,1636.75,4513.45,8659.52,489.51,1706.82,131689.33,0,0,0,0,0,0,0,0,0,0,844,Spring,10,12,79,892.08,141,28
Michael Sharma,+916426484433,michaelsharma946@hotmail.com,145.29,3290.57,29136.69,11661.67,1027.26,5290.05,49000.61,3751.92,24051.1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,850,Summer,6,12,59,1386.78,134,5
Sneha Agarwal,+917529590330,snehaagarwal776@outlook.com,72.36,2134.22,19461.51,2720.69,2910.91,1489.83,1794.73,10613.5,3713.92,0.0,0.0,0,0,1,7,0,0,0,0,0,0,701,Summer,4,4,106,725.02,172,58
Richard Jones,+919598016224,richardjones167@yahoo.com,458.25,2390.89,51127.92,5987.58,2338.1,486.72,1122.75,2772.76,1666.61,0.0,0.0,0,0,2,0,0,3,0,0,0,0,664,Summer,6,11,107,1198.3,215,16
Deepak Tiwari,+918618015134,deepaktiwari289@yahoo.com,41.96,2881.14,32629.43,19189.03,718.37,1373.74,5800.83,1236.54,11795.57,0.0,0.0,0,1,1,0,0,0,4,0,2,0,719,Summer,9,4,79,866.97,178,46
Sneha Williams,+918342295690,snehawilliams483@example.com,141.59,1561.23,39552.11,17229.94,1753.5,2513.19,7673.19,18614.41,557.54,0.0,0.0,0,0,0,0,0,0,0,0,0,0,900,Winter,6,10,122,1097.47,245,34
Arjun Taylor,+919331958769,arjuntaylor75@example.com,1533.79,1782.73,32645.1,6067.66,1831.12,752.78,7488.77,3254.78,762.44,0.0,0.0,0,3,0,0,0,0,4,0,0,0,758,Monsoon,3,6,88,2243.3,118,114
William Rodriguez,+919781660725,williamrodriguez662@hotmail.com,313.69,1551.22,31122.7,35322.23,12594.8,3475.49,1367.59,3506.94,689.99,0.0,0.0,1,1,0,0,3,0,0,0,0,0,746,Summer,3,12,105,5046.63,164,11
Nisha Rodriguez,+919523044613,nisharodriguez770@outlook.com,501.85,5234.51,14449.54,1557.08,1723.7,651.56,4989.16,1733.24,1468.22,0.0,0.0,0,0,0,0,7,0,0,0,0,0,642,Monsoon,10,6,91,410.57,166,10
Sneha Brown,+916276399046,snehabrown49@outlook.com,523.3,2513.84,22701.23,6392.57,4125.67,1445.4,8508.51,8846.52,64.86,0.0,0.0,0,0,1,0,0,1,0,0,0,0,700,Summer,8,9,72,1191.8,160,30
Ananya Verma,+918767945805,ananyaverma602@hotmail.com,1701.4,1407.95,33317.03,10838.97,694.09,2401.89,36399.92,4824.29,582.69,0.0,0.0,0,0,0,0,2,0,0,0,0,0,717,Winter,6,10,88,716.08,199,94
Suresh Sharma,+916152437883,sureshsharma152@example.com,216.23,2388.41,29943.56,9353.66,2350.84,1408.26,24702.2,2516.14,563.49,0.0,0.0,0,0,0,2,0,0,0,0,0,0,836,Spring,8,10,81,2111.56,216,1
Suresh Patel,+919221289702,sureshpatel24@example.com,434.62,1009.39,19111.87,4027.48,3257.75,611.62,8035.34,4065.46,196.54,0.0,0.0,0,0,0,0,1,0,0,0,0,0,828,Winter,9,7,128,766.8,89,215
Preeti Taylor,+917241677412,preetitaylor159@example.com,1834.1,7170.75,17900.02,24389.74,821.57,1348.05,1773.52,7894.68,1240.62,1367.85,53261.18,0,0,0,0,0,0,0,0,0,0,701,Spring,12,4,50,938.37,227,28
Richard Iyer,+918377732117,richardiyer18@outlook.com,1491.36,5909.89,48662.56,3501.39,3167.63,3690.84,17359.8,5549.57,1791.11,1999.38,117179.83,0,0,0,0,0,0,0,0,0,0,872,Monsoon,4,7,82,1260.44,166,11
Manoj Iyer,+916708502970,manojiyer902@example.com,704.59,7183.65,67756.67,1532.55,3001.73,794.98,3049.15,4769.06,11463.63,0.0,0.0,0,0,0,0,0,0,0,0,1,0,788,Spring,11,11,77,2313.78,214,93
Sanjay Pandey,+918984899744,sanjaypandey666@gmail.com,903.02,2775.6,62856.32,15401.55,1149.69,4121.98,5617.2,16308.16,17482.69,2581.56,114673.62,0,0,0,0,0,0,0,0,0,0,852,Summer,8,10,116,557.7,235,3
Divya Tiwari,+916339993219,divyatiwari774@gmail.com,122.71,1700.48,21211.65,8847.77,3812.33,1778.32,4095.76,8781.21,14706.88,0.0,0.0,0,0,0,1,0,0,0,0,0,0,764,Spring,5,14,97,415.11,171,20
Sonia Pandey,+919691723319,soniapandey621@outlook.com,481.66,14038.03,69412.8,7827.0,4174.74,691.06,4847.22,10935.87,6090.78,4298.28,86597.06,0,0,0,2,0,0,0,0,0,0,827,Spring,11,12,91,712.96,155,11
Priya Chopra,+916467199673,priyachopra282@yahoo.com,288.21,3971.48,29997.93,1612.69,1154.86,462.23,1640.07,1180.21,5983.55,0.0,0.0,0,0,2,0,0,0,0,0,0,0,623,Spring,3,7,71,1916.88,221,84
Christopher Malhotra,+916575646592,christophermalhotra616@yahoo.com,479.65,2758.9,65489.13,4563.15,831.98,919.24,9683.62,9243.9,5906.55,941.61,51726.84,0,0,0,0,0,0,0,0,0,0,838,Summer,5,7,90,705.58,117,48
Manoj Joshi,+919137630248,manojjoshi400@gmail.com,396.38,2652.38,71151.1,4445.34,3135.94,1443.06,1931.62,17659.55,14466.97,2273.37,92110.16,0,0,0,0,0,2,0,0,0,0,788,Winter,8,15,104,1426.44,184,35
Amit Gonzalez,+919151229030,amitgonzalez216@outlook.com,201.55,1145.61,21538.26,4310.96,6262.44,4118.94,7097.47,1018.88,757.44,0.0,0.0,0,0,0,0,0,0,0,0,0,0,837,Summer,6,12,92,1669.09,217,36
Sanjay Lopez,+917290482431,sanjaylopez735@yahoo.com,551.25,1941.91,43914.54,24754.77,3567.54,1470.39,2679.85,416.25,2349.62,0.0,0.0,0,0,0,0,0,0,0,0,0,0,775,Winter,2,10,81,862.9,157,68
Divya Kumar,+917527994760,divyakumar555@hotmail.com,174.26,1886.78,31654.81,9918.56,5434.31,2385.06,14517.27,5784.97,14740.69,0.0,0.0,0,0,0,1,1,0,0,0,0,0,798,Spring,6,7,63,1133.62,181,45
Karan Tiwari,+918395071892,karantiwari819@outlook.com,426.26,1614.56,88277.52,9227.77,1612.46,1204.15,2656.93,1859.06,1288.84,1559.13,107248.16,0,6,0,3,0,0,0,19,34,0,538,Winter,2,5,62,4776.06,149,61
Sarah Johnson,+916573733811,sarahjohnson825@outlook.com,492.5,2442.92,22791.84,11381.46,19788.99,1305.85,6454.0,24563.38,22481.69,7835.39,171712.78,0,0,0,0,0,0,0,0,0,0,866,Spring,8,11,96,433.73,232,1
Raj Bansal,+917433359215,rajbansal846@outlook.com,551.39,793.15,22675.69,7247.84,4399.44,761.79,4877.19,2180.61,1391.62,0.0,0.0,0,7,4,0,0,1,0,0,0,0,670,Spring,4,5,88,523.99,224,3
Robert Thomas,+918532319851,robertthomas566@yahoo.com,272.05,2262.31,24376.43,15320.46,2876.0,781.92,10660.58,8297.14,1739.26,0.0,0.0,0,0,0,0,0,0,5,0,0,0,781,Monsoon,6,11,90,439.03,249,31
Arun Johnson,+917481005298,arunjohnson718@hotmail.com,1472.38,5099.99,71299.58,9401.36,3679.88,2102.37,12828.45,3924.36,2577.41,0.0,0.0,0,0,1,0,0,0,0,0,0,0,855,Summer,6,8,95,366.57,171,9
Christopher Chopra,+916650164946,christopherchopra135@gmail.com,536.14,2047.6,35334.93,16740.04,2793.34,1804.9,3186.58,2591.31,5306.14,3654.68,211576.08,0,0,0,0,0,0,3,0,0,0,768,Summer,11,13,87,433.02,76,11
Sneha Bansal,+918732364254,snehabansal615@outlook.com,347.77,1086.78,59803.57,4549.35,1250.09,831.27,10597.41,2737.64,461.42,1557.54,32075.8,0,0,0,0,2,0,0,0,0,0,687,Spring,7,3,56,333.15,91,71
Sneha Jain,+919268760902,snehajain859@example.com,191.67,3453.97,26532.86,7631.01,510.17,4020.89,47352.85,3576.89,34421.16,2491.07,53848.59,0,7,0,0,0,0,0,0,2,0,701,Spring,3,3,93,565.29,179,61
Emma Smith,+919436874000,emmasmith296@hotmail.com,377.1,5723.22,41994.68,4589.26,2799.84,1624.1,1756.89,1315.03,8051.19,0.0,0.0,0,0,3,0,0,0,2,0,0,0,704,Monsoon,5,4,99,818.91,94,6
Robert Singh,+919097956975,robertsingh364@example.com,495.48,1392.54,21337.82,1019.49,4418.84,684.81,9777.61,5453.84,5776.97,0.0,0.0,0,0,0,5,0,2,0,0,1,0,667,Spring,10,6,121,513.91,114,51
Manoj Patel,+919195746320,manojpatel451@outlook.com,341.68,5021.55,22416.28,2436.29,642.97,822.88,2602.62,1424.99,8973.23,0.0,0.0,0,0,0,0,0,0,3,0,0,0,647,Monsoon,3,4,96,739.59,194,17
Pooja Tiwari,+918433177390,poojatiwari356@yahoo.com,286.69,2943.82,49636.13,45048.48,10758.75,2257.83,4957.3,3741.35,4430.89,0.0,0.0,0,0,0,0,0,0,0,0,0,0,813,Summer,7,10,68,3165.66,156,20
Arjun Patel,+918810429944,arjunpatel364@hotmail.com,762.48,1632.39,21505.4,10674.39,997.84,2372.23,13343.69,1804.22,1709.34,0.0,0.0,0,0,0,0,0,0,0,3,0,0,722,Monsoon,7,9,47,2357.65,109,20
William Johnson,+919696482940,williamjohnson684@yahoo.com,161.53,1325.53,29511.13,19521.15,1331.16,2886.68,3442.95,10546.55,6217.38,0.0,0.0,0,0,0,0,0,0,0,0,0,0,682,Winter,6,9,75,555.39,98,57
Preeti Mishra,+917951763846,preetimishra872@example.com,395.71,2386.16,55922.87,10785.81,3858.53,583.38,5024.78,843.13,679.08,0.0,0.0,4,0,0,0,0,0,0,1,3,0,670,Monsoon,7,3,103,832.95,88,4
Rohit Nair,+919509587554,rohitnair377@yahoo.com,358.45,518.42,70648.79,2068.06,16072.89,2297.04,47713.62,5141.84,1274.72,0.0,0.0,0,0,0,0,0,0,0,0,0,0,845,Winter,3,9,104,837.0,159,2
Nisha Wilson,+919089767535,nishawilson870@example.com,455.88,1978.88,43268.87,3010.46,736.73,2145.59,3992.74,5124.36,434.02,0.0,0.0,0,0,0,0,0,0,0,0,0,0,776,Summer,6,7,91,1034.26,167,9
Sneha Pandey,+916407897549,snehapandey765@gmail.com,414.99,1244.73,25893.65,5635.23,3791.2,1987.78,45430.21,4428.91,284.85,0.0,0.0,0,0,0,1,1,0,0,0,0,0,806,Summer,6,10,107,1472.86,168,89
Vinod Williams,+916523649894,vinodwilliams512@yahoo.com,1081.13,1570.73,48681.94,7563.23,3073.75,357.13,5282.43,4632.06,4345.95,0.0,0.0,0,3,0,0,2,0,0,0,0,0,686,Monsoon,8,6,59,941.92,165,18
Nisha Thomas,+916842306743,nishathomas431@yahoo.com,166.22,867.15,15891.83,5141.1,1679.29,1121.81,1717.27,1546.0,5826.1,0.0,0.0,2,10,3,0,0,0,0,0,8,0,579,Winter,3,4,77,578.17,80,71
Robert Nair,+916534000174,robertnair354@gmail.com,339.22,1417.32,11767.95,7747.59,4147.17,1401.91,7704.69,4289.05,2319.91,0.0,0.0,0,0,0,0,0,0,4,0,0,0,778,Winter,7,6,109,428.37,210,9
Rashmi Moore,+917327254399,rashmimoore328@yahoo.com,228.05,1358.73,29452.18,8672.41,2675.4,1593.49,6662.95,9378.52,17016.62,867.02,37853.78,0,0,1,0,0,0,0,0,0,0,764,Spring,4,10,55,915.45,259,49
Lisa Hernandez,+916300289553,lisahernandez478@gmail.com,157.55,2024.13,40536.25,3874.68,982.16,2175.07,6308.03,1709.06,5341.51,987.64,56183.92,0,7,0,0,0,0,0,0,0,0,676,Monsoon,4,11,77,347.3,167,40
Ravi Jackson,+916926645314,ravijackson366@outlook.com,344.72,2739.39,81646.98,2436.43,1985.7,5853.3,6275.93,4002.94,49601.75,827.56,69852.12,0,0,0,0,0,0,2,0,0,8,726,Summer,6,8,75,504.37,162,0
Ananya Williams,+919364930527,ananyawilliams850@hotmail.com,782.61,4372.74,66044.85,5536.14,352.75,1445.22,1137.67,3000.22,143.78,0.0,0.0,2,0,3,1,0,0,0,0,0,0,588,Monsoon,4,5,76,698.9,153,21
Sonia Davis,+916683111388,soniadavis748@example.com,1371.77,3294.42,91186.67,14464.55,3177.77,948.31,5084.07,505.7,3851.31,0.0,0.0,0,0,0,0,0,0,0,0,0,0,888,Monsoon,6,10,131,369.18,208,7
Ashley Davis,+919376063525,ashleydavis297@yahoo.com,456.81,2682.63,66805.89,24761.75,763.86,1699.98,17957.89,1449.33,13726.01,0.0,0.0,0,0,2,0,0,0,1,0,0,0,719,Monsoon,4,9,79,1828.22,93,60
Sneha Davis,+916354102553,snehadavis795@yahoo.com,1467.26,2151.52,66667.99,3462.03,983.91,1605.96,5155.66,12294.99,17250.94,1671.53,43763.49,0,0,0,0,0,0,0,0,0,0,831,Summer,3,6,79,5701.86,261,54
Jessica Jackson,+918647358248,jessicajackson154@outlook.com,926.68,3299.45,78001.98,4593.65,9389.37,1569.52,19721.4,5978.12,2834.43,10101.54,259460.99,0,0,0,0,0,0,0,0,0,0,900,Spring,9,8,149,485.58,172,53
Joseph Anderson,+918839889239,josephanderson749@example.com,153.38,3421.46,33581.75,8322.19,1548.3,1873.27,9896.85,12973.01,936.47,0.0,0.0,0,0,2,0,0,0,0,0,0,0,790,Winter,9,11,56,1662.2,230,2
Kavya Hernandez,+918067649674,kavyahernandez348@gmail.com,77.01,4282.25,61155.93,2785.33,1755.87,3557.4,3777.72,4519.88,628.84,6800.76,141798.41,0,0,3,0,0,12,1,0,0,0,640,Winter,6,8,106,1021.0,128,36
Suresh Garcia,+918823123701,sureshgarcia460@yahoo.com,322.86,3612.46,71116.75,5895.36,1414.78,1084.79,14608.46,1056.63,4167.24,0.0,0.0,0,0,0,0,0,0,0,0,0,0,866,Summer,6,10,96,2333.76,183,1
Thomas Moore,+917888000914,thomasmoore891@hotmail.com,213.1,1574.92,25132.54,3297.97,19008.32,1785.49,3538.09,3845.91,1650.49,0.0,0.0,0,0,2,1,0,0,0,4,0,0,780,Summer,10,9,87,1604.75,224,66
Manoj Jones,+918645518029,manojjones617@gmail.com,503.35,3036.2,24770.97,9027.28,13526.6,610.13,11371.22,2537.04,4007.34,2349.21,179143.78,0,0,0,0,0,0,0,0,10,0,743,Monsoon,3,10,81,407.46,170,38
Christopher Anderson,+917347456294,christopheranderson998@example.com,415.23,647.63,28531.95,7500.28,1215.05,2519.35,4718.46,4154.22,8878.65,1326.67,52889.42,0,0,0,0,0,0,1,0,0,0,843,Winter,6,10,115,904.28,192,22
Robert Chopra,+917251164560,robertchopra90@example.com,235.46,6696.96,23695.52,4663.06,3272.48,946.2,3607.86,1162.93,277.74,0.0,0.0,0,0,0,3,0,0,0,0,0,0,717,Winter,4,5,82,474.93,136,2
Robert Tiwari,+916882447546,roberttiwari111@gmail.com,30.87,2692.01,33464.5,2383.89,7156.91,2592.86,18013.74,2413.43,4261.99,0.0,0.0,0,0,0,0,0,0,0,0,0,0,829,Summer,7,11,77,731.29,158,92
Ravi Jones,+919250361344,ravijones662@outlook.com,558.46,7877.57,20986.59,2171.12,2402.61,4296.8,10362.38,6513.02,2429.36,0.0,0.0,0,0,0,0,0,0,0,0,0,0,822,Winter,6,3,88,942.07,128,45
Divya Verma,+916730780938,divyaverma406@yahoo.com,305.5,2137.92,21728.75,3579.31,1166.64,880.77,1954.35,1019.78,543.93,0.0,0.0,0,0,0,0,0,0,3,0,0,0,681,Summer,3,3,69,1779.41,209,24
Emma Singh,+917688696547,emmasingh743@gmail.com,1437.7,1187.62,64738.42,23206.99,1629.3,4001.0,6973.86,1403.23,3591.73,2263.45,149535.5,0,0,0,0,0,0,0,0,0,0,900,Monsoon,6,11,103,375.4,176,26
Daniel Miller,+917072981699,danielmiller183@yahoo.com,474.79,1741.45,36849.23,5671.74,14740.9,427.61,6117.01,1326.73,401.71,0.0,0.0,0,0,0,0,0,0,0,0,0,0,740,Winter,4,6,84,340.93,205,46
Deborah Jain,+918361648329,deborahjain343@yahoo.com,669.98,2802.72,60927.64,8219.62,6518.26,1678.39,4798.46,7414.7,5146.35,1827.14,171025.03,0,5,0,0,0,0,0,0,0,0,784,Monsoon,8,9,125,1681.56,196,23
William Agarwal,+917836273555,williamagarwal848@hotmail.com,328.26,1489.24,7741.64,6129.04,2465.12,1605.19,11685.02,9855.58,5671.96,0.0,0.0,1,0,1,0,1,0,0,0,0,0,793,Spring,4,15,88,3092.7,236,14
Priya Iyer,+918986084480,priyaiyer926@gmail.com,689.28,1414.14,41451.03,8625.53,4631.89,1619.64,8813.55,2384.87,695.82,0.0,0.0,4,0,0,0,0,7,0,0,0,0,728,Spring,6,6,137,539.05,182,148
Deborah Tiwari,+919433846622,deborahtiwari645@outlook.com,192.7,3037.4,18999.46,10724.87,1286.24,1931.19,23777.4,6626.65,1417.88,239.07,21535.04,0,12,0,0,5,2,6,7,0,0,573,Spring,5,8,84,1124.8,153,16
Priya Malhotra,+918195452949,priyamalhotra306@hotmail.com,489.86,3198.57,43364.67,1762.62,2110.0,1299.63,2487.04,7228.79,596.29,0.0,0.0,0,0,2,0,0,0,0,0,0,0,701,Winter,7,12,92,642.88,184,10
Divya Iyer,+916127367408,divyaiyer14@example.com,1282.33,900.2,78441.77,11098.14,3591.07,1008.42,11560.37,17120.95,4734.83,0.0,0.0,0,0,0,0,0,0,0,0,0,0,836,Winter,8,8,96,1389.19,225,15
Sonia Rodriguez,+919170058739,soniarodriguez510@example.com,192.94,956.13,77020.13,9352.8,5592.38,1694.67,1797.18,4045.6,2341.36,11869.95,279476.06,0,0,0,0,0,0,0,0,0,0,900,Winter,6,14,132,406.26,207,27
Sneha Malhotra,+919859879382,snehamalhotra440@hotmail.com,107.69,1360.33,34481.24,4261.49,7559.69,1838.61,913.45,3988.69,2239.34,0.0,0.0,0,0,8,0,0,10,0,0,0,0,534,Summer,2,4,49,534.77,148,0
David Mishra,+916417004799,davidmishra421@yahoo.com,404.52,1792.22,77078.37,23193.44,6297.66,2174.44,4307.05,3536.88,8117.94,2672.67,122660.3,0,0,0,0,0,0,0,0,0,0,872,Monsoon,5,4,101,1900.78,241,0
Daniel Nair,+919803842278,danielnair385@yahoo.com,255.4,6640.21,40732.21,5904.9,2948.96,1843.56,4133.03,1537.65,3734.13,0.0,0.0,0,0,0,0,0,0,0,0,0,0,731,Monsoon,9,11,48,303.57,166,37
Melissa Davis,+916845477031,melissadavis50@hotmail.com,206.58,3252.99,61641.72,4387.72,3001.67,1460.71,4578.73,2278.68,13832.5,0.0,0.0,0,0,0,0,2,0,0,0,0,0,741,Spring,8,7,113,969.15,141,44
Deborah Williams,+917990000375,deborahwilliams714@outlook.com,151.66,4675.56,29941.53,6216.91,2708.22,970.24,3345.49,9383.44,2669.1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,803,Spring,8,11,80,677.14,180,26
Preeti Kumar,+917946540646,preetikumar69@yahoo.com,126.93,2043.19,35239.37,3360.06,2840.96,1217.71,14646.79,9664.67,8750.1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,854,Winter,1,10,114,418.85,322,138
Aditi Martinez,+919088377167,aditimartinez400@example.com,661.73,1519.14,14207.7,8133.02,1096.07,5269.32,35911.23,1221.91,2076.65,0.0,0.0,0,0,0,0,0,0,1,0,0,0,644,Spring,6,9,84,751.06,192,85
Arjun Jones,+918472093156,arjunjones666@hotmail.com,411.03,1399.32,38149.89,3307.37,5369.98,2193.02,6826.06,2859.4,3497.97,0.0,0.0,0,0,1,0,0,0,0,5,0,0,733,Summer,8,8,48,423.78,184,9
David Brown,+919057314236,davidbrown161@example.com,477.28,1463.66,24058.43,2678.04,998.15,3505.13,1304.41,1077.91,523.34,490.51,41179.3,0,0,0,0,0,0,0,5,16,0,678,Summer,4,7,72,740.69,181,72
Ananya Miller,+918202874401,ananyamiller641@example.com,124.2,748.45,23784.53,3766.04,1418.72,1426.53,9051.95,6032.9,809.42,0.0,0.0,0,2,0,0,2,0,0,0,0,0,743,Winter,4,6,82,1429.81,211,7
Deepak Mishra,+916583879617,deepakmishra404@hotmail.com,322.16,948.74,23202.42,6568.57,2136.46,745.17,6380.41,3655.65,2673.88,0.0,0.0,0,0,0,1,0,2,0,0,0,0,729,Spring,6,7,116,443.58,211,16
Riya Yadav,+918785326488,riyayadav736@hotmail.com,135.13,831.07,56879.97,4511.44,3650.73,1759.77,8817.14,2580.72,4936.35,0.0,0.0,0,0,0,0,0,3,0,0,0,0,826,Summer,10,8,82,279.94,160,30
Neha Chopra,+916060130114,nehachopra700@hotmail.com,200.43,2169.79,52952.98,15751.25,3222.87,3182.74,8053.38,16020.08,393.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,809,Monsoon,6,9,78,397.34,113,3
Robert Davis,+918235041789,robertdavis300@outlook.com,379.07,838.9,34052.01,2910.89,3895.77,1031.44,2846.66,1275.44,18274.74,0.0,0.0,0,0,0,0,0,0,0,0,0,0,766,Monsoon,8,10,73,966.63,182,14
Ravi Moore,+919382607142,ravimoore800@example.com,844.8,2750.31,25157.44,4592.28,2600.79,1194.81,2347.75,4661.76,7907.97,0.0,0.0,0,0,0,0,0,0,0,0,0,0,900,Summer,11,9,101,772.04,244,61
Aarav Sharma,+919787586466,aaravsharma78@outlook.com,668.42,2193.51,22916.43,3072.9,3981.95,1206.51,4604.6,3857.37,7220.36,0.0,0.0,0,0,0,0,0,0,2,0,0,0,823,Monsoon,5,11,41,516.03,128,16
Aarav Gonzalez,+918097101621,aaravgonzalez118@example.com,498.65,1991.67,23034.73,10775.4,5180.96,878.11,4406.65,3465.73,1315.82,0.0,0.0,0,0,0,0,0,0,0,0,11,0,663,Monsoon,3,9,64,735.1,221,43
Emma Thomas,+916522923149,emmathomas616@yahoo.com,107.02,1077.97,71412.18,8290.17,6208.33,3819.42,3991.19,1417.33,1837.64,2180.34,56817.64,0,0,0,3,0,0,0,0,0,0,729,Monsoon,6,13,95,715.21,150,30
Michael Agarwal,+918432605108,michaelagarwal107@outlook.com,422.86,2950.28,39762.59,4114.62,5902.42,1827.26,15476.4,6586.59,3167.75,4964.43,159730.58,0,0,5,6,2,0,0,0,2,0,692,Monsoon,12,5,94,425.64,171,20
Lisa Yadav,+918621440174,lisayadav557@example.com,383.3,3449.5,40327.4,11794.87,1089.92,1122.28,8270.44,4229.51,10569.66,0.0,0.0,0,0,0,0,0,1,0,0,0,0,774,Monsoon,13,10,66,569.79,233,15
Rohit Miller,+917427956091,rohitmiller12@gmail.com,410.04,2819.89,56209.09,7069.58,3686.99,3177.82,3388.26,77027.32,2454.8,0.0,0.0,0,0,0,0,0,0,0,0,0,0,842,Summer,6,12,77,468.99,240,51
Sunita Brown,+917961081699,sunitabrown441@gmail.com,687.47,5050.31,55234.25,10828.47,4181.99,2017.89,8808.26,10103.03,943.14,2190.59,102184.16,0,0,0,0,0,0,0,0,0,0,892,Summer,7,14,97,1041.73,177,0
David Singh,+918233054843,davidsingh451@example.com,190.48,2484.29,52564.09,16776.95,4116.63,837.59,11009.8,18591.25,48425.46,0.0,0.0,0,0,2,0,0,0,0,0,0,0,755,Winter,7,9,92,668.04,194,33
Deborah Patel,+916541769885,deborahpatel431@yahoo.com,178.75,3121.29,20484.61,9489.52,7687.82,1877.68,19146.64,1204.07,2124.42,1290.21,52359.95,0,0,0,0,0,0,0,0,2,0,816,Winter,9,3,68,501.65,258,56
William Agarwal,+917433623030,williamagarwal141@outlook.com,563.44,1090.28,21531.76,5982.89,10796.48,2416.95,5859.87,2995.31,3864.58,0.0,0.0,0,0,0,0,0,0,0,0,0,0,727,Monsoon,6,7,96,407.65,183,93
Raj Gonzalez,+916461082375,rajgonzalez938@example.com,223.6,1530.98,42763.37,11482.69,5670.9,988.79,8106.72,5586.56,8172.44,0.0,0.0,0,0,0,0,0,0,0,0,0,0,808,Spring,8,7,79,1192.68,141,70
Sonia Agarwal,+918093765588,soniaagarwal980@example.com,54.47,799.5,33861.17,10322.69,4562.84,1367.89,9788.98,1970.76,2172.58,0.0,0.0,4,0,0,0,0,0,4,7,0,0,647,Monsoon,3,10,116,1575.91,83,0
Akash Mishra,+916358398299,akashmishra876@outlook.com,101.55,4329.59,61816.88,3661.72,1112.96,1144.34,19227.82,1140.88,1806.42,0.0,0.0,0,1,12,0,4,4,0,0,0,0,624,Spring,5,6,38,511.47,187,0
Arun Taylor,+917056463604,aruntaylor128@yahoo.com,218.38,1865.61,35187.36,9290.34,4966.66,1397.55,10093.91,1324.74,452.35,0.0,0.0,5,0,0,0,0,3,0,2,0,0,694,Winter,7,12,89,806.09,137,35
Vikram Lopez,+918904975290,vikramlopez982@example.com,228.81,5447.66,64803.5,6037.9,18110.14,1183.52,12161.06,13997.85,606.84,0.0,0.0,0,0,0,0,0,0,0,0,0,0,900,Monsoon,5,11,87,2391.29,287,54
Deepak Johnson,+918649349199,deepakjohnson262@example.com,311.74,6337.9,48836.81,10393.34,4393.38,3621.85,37360.94,21980.09,2175.12,4319.68,157394.25,0,0,0,0,0,0,0,0,0,0,799,Spring,6,10,107,139.9,79,16
